experiment_id,model,runtime,backend_variant,weight,kv,spec,ngram,topology,context_per_agent,concurrency,c1_128k,c2_resident,c2_active,queue_only,ttft_ms,request_decode_tps,aggregate_decode_tps,peak_vram_gpu0_mib,peak_vram_gpu1_mib,gateway_runtime,gateway_revision,gateway_routing,verdict,key_note
EXP-V100-Q38-LLAMA-Q80-TARGET-C1-128K-20260923-001,Qwen3.8-27B,llama.cpp,stock,UD-Q4_K_M,Q8_0,target-only,off,tp2-shared,131072,1,false,,,,,,,,,,,,INCONCLUSIVE,No measured request: preflight-only INCONCLUSIVE. See report for harness failure and new-ID retry.
EXP-V100-Q38-LLAMA-Q80-TARGET-C1-128K-20260923-002,Qwen3.8-27B,llama.cpp,stock,UD-Q4_K_M,Q8_0,target-only,off,tp2-shared,131072,1,true,,,false,492794.10500100127,16.24016164019243,16.263647678417524,10263.0,11357.0,,,,PASS_C1_128K,"WBS 2.1.1; one measured request; no full-size warmup; 2048 output reserve, minimum 256."
EXP-V100-Q38-LLAMA-Q80-NGRAM-C1-128K-20260923-001,Qwen3.8-27B,llama.cpp,stock,UD-Q4_K_M,Q8_0,ngram,ngram-simple,tp2-shared,131072,1,false,,,,,,,,,,,,INCONCLUSIVE,No measured request: preflight-only INCONCLUSIVE. See report for harness failure and new-ID retry.
EXP-V100-Q38-LLAMA-Q80-NGRAM-C1-128K-20260923-002,Qwen3.8-27B,llama.cpp,stock,UD-Q4_K_M,Q8_0,ngram,ngram-simple,tp2-shared,131072,1,true,,,false,492758.1132279993,16.101070378042575,16.121545776667162,10263.0,11357.0,,,,PASS_C1_128K,"WBS 2.1.1; one measured request; no full-size warmup; 2048 output reserve, minimum 256."
EXP-V100-ORN15-9B-LLAMA-F16-TARGET-C1-128K-20260923-001,Ornith-1.5-9B,llama.cpp,stock,Q6_K,FP16,target-only,off,tp2-shared,131072,1,true,,,false,140699.37864500025,49.23036683993678,49.30429489219115,5585.0,6035.0,,,,PASS_C1_128K,WBS 2.1.2; semantic-quality caveat recorded separately.
EXP-V100-ORN15-9B-LLAMA-F16-NGRAM-C1-128K-20260923-001,Ornith-1.5-9B,llama.cpp,stock,Q6_K,FP16,ngram,ngram-simple,tp2-shared,131072,1,true,,,false,140704.4134020034,48.131700156691316,48.20736026541501,5585.0,6061.0,,,,PASS_C1_128K,NGRAM-on C1 capacity/correctness PASS; acceleration effectiveness is not a C1 gate and is deferred to Phase 5.
EXP-V100-ORN15-9B-LLAMA-F16-MTP-C1-128K-20260923-001,Ornith-1.5-9B,llama.cpp,stock,Q6_K,FP16,native-mtp,off,tp2-shared,131072,1,true,,,false,177990.23190599837,52.11896555595588,52.19906085085006,5671.0,7091.0,,,,PASS_C1_128K,MTP active: 291/645 accepted (45.116%); semantic-quality caveat recorded separately.
EXP-V100-ORN15-9B-LLAMA-F16-MTP-NGRAM-C1-128K-20260923-001,Ornith-1.5-9B,llama.cpp,stock,Q6_K,FP16,mtp+ngram,ngram-simple,tp2-shared,131072,1,true,,,false,177973.2734479985,52.16423321206008,52.24451608089306,5671.0,7113.0,,,,PASS_C1_128K,Composite MTP+NGRAM C1 capacity/correctness PASS; MTP 291/645 accepted; additional NGRAM performance is deferred to Phase 5.
EXP-V100-ORN15-35B-LLAMA-Q80-TARGET-C1-128K-20260924-001,Ornith-1.5-35B-A3B,llama.cpp,stock,Q4_K_M,Q8_0,target-only,off,tp2-shared,131072,1,true,,,false,483480.4960389956,49.832493025479984,49.86171261498332,11731.0,11215.0,,,,PASS_C1_128K,WBS 2.1.3; semantic-quality caveat recorded separately.
EXP-V100-ORN15-35B-LLAMA-Q80-NGRAM-C1-128K-20260924-001,Ornith-1.5-35B-A3B,llama.cpp,stock,Q4_K_M,Q8_0,ngram,ngram-simple,tp2-shared,131072,1,true,,,false,485385.01169400115,49.14420230574602,49.188392768470315,11735.0,11219.0,,,,PASS_C1_128K,NGRAM-on C1 PASS; 49/96 accepted; acceleration effectiveness deferred to Phase 5.
EXP-V100-ORN15-35B-LLAMA-Q80-MTP-C1-128K-20260924-001,Ornith-1.5-35B-A3B,llama.cpp,stock,Q4_K_M,Q8_0,native-mtp,off,tp2-shared,131072,1,true,,,false,505964.81681199657,58.260371070281636,58.308743886008614,11767.0,12229.0,,,,PASS_C1_128K,Embedded native MTP n=1 active: 401/505 accepted (79.406%).
EXP-V100-ORN15-35B-LLAMA-Q80-MTP-NGRAM-C1-128K-20260924-001,Ornith-1.5-35B-A3B,llama.cpp,stock,Q4_K_M,Q8_0,mtp+ngram,ngram-simple,tp2-shared,131072,1,true,,,false,505684.48745299975,56.211210032305864,56.263109649848055,11767.0,12229.0,,,,PASS_C1_128K,Composite MTP n=1 + NGRAM C1 PASS; 364/512 accepted; additional NGRAM performance deferred to Phase 5.
EXP-V100-GEMMA4-26B-LLAMA-F16-TARGET-C1-128K-20260924-001,Gemma4-26B-A4B-IT-QAT,llama.cpp,stock,UD-Q4_K_XL,FP16,target-only,off,tp2-shared,131072,1,true,,,false,246184.041598,68.1012275176769,68.11670722316161,8775.0,8785.0,,,,PASS_C1_128K,WBS 2.1.4; exact full 128K budget; semantic contract caveat recorded separately.
EXP-V100-GEMMA4-26B-LLAMA-F16-NGRAM-C1-128K-20260924-001,Gemma4-26B-A4B-IT-QAT,llama.cpp,stock,UD-Q4_K_XL,FP16,ngram,ngram-simple,tp2-shared,131072,1,true,,,false,245301.9226309999,64.39048680638926,64.44918428536039,8775.0,8805.0,,,,PASS_C1_128K,NGRAM-on C1 PASS; 4/96 accepted; acceleration effectiveness deferred to Phase 5.
EXP-V100-GEMMA4-26B-LLAMA-F16-MTP-C1-128K-20260924-001,Gemma4-26B-A4B-IT-QAT,llama.cpp,stock,UD-Q4_K_XL,FP16,mtp-assistant,off,tp2-shared,131072,1,false,,,false,,,,,,,,,FAIL_STARTUP,"Exact target+companion identities; preflight PASS; gemma4-assistant startup crash, server exit 139; no measured request."
EXP-V100-GEMMA4-26B-LLAMA-F16-MTP-C1-128K-20260924-002,Gemma4-26B-A4B-IT-QAT,llama.cpp,stock,UD-Q4_K_XL,FP16,mtp-assistant,off,tp2-shared,131072,1,true,,,false,245081.27040199997,45.48584955819711,45.52829905244756,8983.0,9101.0,,,,PASS_C1_128K,"Corrected dual-draft-device contract CUDA0,CUDA1; MTP active 548/1088 accepted (50.368%); -001 remains configuration-specific startup failure evidence."
EXP-V100-GEMMA4-26B-LLAMA-F16-MTP-NGRAM-C1-128K-20260924-001,Gemma4-26B-A4B-IT-QAT,llama.cpp,stock,UD-Q4_K_XL,FP16,mtp+ngram,ngram-simple,tp2-shared,131072,1,true,,,false,249193.38124800014,45.532546603007304,45.57449045032872,8983.0,9121.0,,,,PASS_C1_128K,Corrected dual-draft-device composite contract; 548/1088 accepted (50.368%); MTP counters identical to MTP-only; NGRAM performance deferred to Phase 5.
EXP-V100-Q38-1CAT-FP8E4M3-TARGET-C1-128K-20260924-001,Qwen3.8-27B,1Cat-vLLM,stock,NVFP4,fp8_e4m3,target-only,N/A,tp2-shared,131072,1,false,,,,,,,,,,,,FAIL_STARTUP,"WBS 2.2.1; server startup is the compatibility gate; one measured request only after healthy startup; no full-size warmup; 2048 output reserve, minimum 256."
